network-architecture,"VSAT network architecture (star, mesh, ...) "
network-station,Total number of stations 
network-hub-location,"Location of the HUB (country, city)  "
network-frequency-rising,Rising  
network-frequency-descending,Descending  
network-hub-uplink,Up link (centrifugal) 
network-hub-downlink,Down link (centripetal) 
network-station-uplink,Up link (centrifugal) 
network-station-downlink,Down link (centripetal) 
link-station-name,Space Station Name 
link-operator-name,Name of satellite operator 
link-position,Orbital position  
link-angle,Angle of inclination  
link-modulation,Carrier modulation system  
link-access,Multiple access technique 
undefined,Link Status 
land-station-name,Space Station Name 
land-antenna-location,Location of the antenna (city and geographical coordinates) 
land-antena-diameter,Antenna diameter  
land-station-uplink,Up link (centrifuge)  
land-station-downlink,Down link (centripetal) 
land-station-access,Centripetal access mode 
land-station-modulation,Modulation technique 
land-station-gain,Antenna gain 
land-station-receiver-noise,Receiver noise temperature 
land-station-station-noise,Station noise (G / T) gain / temperature ratio 
land-station-power,Power Spectrum Density (Worst) 
land-station-direct,Direct Error Correction Report 
land-station-polarisation,Polarization  
land-station-lobe,Side-lobe level  
land-station-discrimination,Antenna discrimination  
